bin	tax_gtdb.r220
001-SG-02.bin.2.221	d__Bacteria;p__Bacteroidota;c__Kapaibacteriia;o__Kapaibacteriales;f__UBA4661;g__PH2015;s__
001-SG-02.bin.2.222	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__JAIBBQ01;s__JAIBBQ01 sp019694595
001-SG-02.bin.2.224	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__Dongia_A;s__
001-SG-02.bin.2.225	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Limisphaerales;f__CAIMTB01;g__CAIMTB01;s__
001-SG-02.bin.2.226	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__SXNL01;s__
001-SG-02.bin.2.228	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__
001-SG-02.bin.2.229	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__Ferruginibacter sp018268185
001-SG-02.bin.2.23	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__JALEGO01;g__;s__
001-SG-02.bin.2.230	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_A;s__Nitrospira_A sp009594855
001-SG-02.bin.2.231	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__TH1-2;g__Vitreimonas;s__
001-SG-02.bin.2.232	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__WAJ17;s__
001-SG-02.bin.2.235	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__Accumulibacter sp029255125
001-SG-02.bin.2.237	d__Bacteria;p__Bdellovibrionota;c__UBA2361;o__UBA2361;f__G030584005;g__;s__
001-SG-02.bin.2.238	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__;s__
001-SG-02.bin.2.239	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ramlibacter;s__
001-SG-02.bin.2.24	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
001-SG-02.bin.2.240	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__JAJFUZ01;s__
001-SG-02.bin.2.241	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium;s__
001-SG-02.bin.2.243	d__Bacteria;p__Patescibacteria;c__Doudnabacteria;o__UBA920;f__UBA920;g__;s__
001-SG-02.bin.2.245	d__Bacteria;p__UBA10199;c__UBA10199;o__2-02-FULL-50-16;f__GCA-016699445;g__GCA-016699445;s__
001-SG-02.bin.2.248	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__J036;f__Brachytrichaceae;g__AQU-03;s__
001-SG-02.bin.2.25	d__Bacteria;p__UBA1439;c__Tritonobacteria;o__UBA1439;f__UBA1439;g__UBA1439;s__UBA1439 sp937858775
001-SG-02.bin.2.250	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__JAEUJZ01;g__;s__
001-SG-02.bin.2.254	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAISIP01;s__
001-SG-02.bin.2.256	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__JAEUJZ01;g__JAEUJZ01;s__
001-SG-02.bin.2.257	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__PFJX01;s__
001-SG-02.bin.2.258	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__PALSA-1337;g__CAIOGI01;s__
001-SG-02.bin.2.26	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Limisphaerales;f__UBA11358;g__JADLHS01;s__
001-SG-02.bin.2.266	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pelomonas;s__Pelomonas sp937871895
001-SG-02.bin.2.269	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter_A;s__
001-SG-02.bin.2.272	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__S36-B12;f__GCA-2699445;g__;s__
001-SG-02.bin.2.274	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__CAIXSC01;s__
001-SG-02.bin.2.275	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA6615;f__;g__;s__
001-SG-02.bin.2.28	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__JAEUJZ01;g__CALFML01;s__
001-SG-02.bin.2.283	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__S36-B12;f__UBA10799;g__JACJWR01;s__
001-SG-02.bin.2.285	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__SCN-70-22;s__
001-SG-02.bin.2.287	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Agitococcus;s__Agitococcus sp937920075
001-SG-02.bin.2.288	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__JARSSO01;s__
001-SG-02.bin.2.289	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Giesbergeria;s__
001-SG-02.bin.2.290	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Piscinibacter;s__Piscinibacter sp017983795
001-SG-02.bin.2.292	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__
001-SG-02.bin.2.293	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__DAOUQR01;f__DAOUQR01;g__;s__
001-SG-02.bin.2.295	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__UBA5066;g__UBA5066;s__
001-SG-02.bin.2.3	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Labilithrix;s__
001-SG-02.bin.2.30	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__JADJCA01;s__
001-SG-02.bin.2.303	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__JARSSO01;s__
001-SG-02.bin.2.304	d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__UBA2376;s__
001-SG-02.bin.2.305	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__AWTP1-35;s__AWTP1-35 sp003962875
001-SG-02.bin.2.306	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__JAEUNJ01;s__JAEUNJ01 sp016791145
001-SG-02.bin.2.307	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Labraceae;g__;s__
001-SG-02.bin.2.308	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__JABDDW01;f__JABDDW01;g__;s__
001-SG-02.bin.2.31	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__JAEUKQ01;f__JAEUKQ01;g__JAEUKQ01;s__
001-SG-02.bin.2.310	d__Bacteria;p__UBA10199;c__UBA10199;o__DSSB01;f__;g__;s__
001-SG-02.bin.2.313	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__PFJX01;s__
001-SG-02.bin.2.314	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Miltoncostaeales;f__Miltoncostaeaceae;g__Ga0077560;s__
001-SG-02.bin.2.315	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__HRBIN36;g__JAEUIE01;s__JAEUIE01 sp016795155
001-SG-02.bin.2.316	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Villigracilaceae;g__Villigracilis;s__
001-SG-02.bin.2.317	d__Bacteria;p__JADJOY01;c__JADJOY01;o__JADJOY01;f__JADJOY01;g__JADJOY01;s__
