Tree node ID	Genus	Uncharacterised	MiDAS_GCF_1	MiDAS_GCF_2	MiDAS_GCF_3	MiDAS_GCF_4	MiDAS_GCF_5	MiDAS_GCF_6	MiDAS_GCF_7	MiDAS_GCF_8	MiDAS_GCF_9	MiDAS_GCF_10	MiDAS_GCF_11	MiDAS_GCF_12	MiDAS_GCF_13	MiDAS_GCF_14	MiDAS_GCF_15
066-CH-22.bin.1.540'	JBAOHV01	74.36	0	0	0	0	0	0	0	94.87	0	0	0	0	0	0	0
020-NO1-03.bin.2.161'	JBBQCW01	92.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
016-PL-06.bin.1.797'	JBBSAT01	16.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
041-UK2-07.bin.1.163'	JBEIFN01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
014-ES-23.bin.2.36'	JBEISR01	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
043-US1-27.bin.1.342'	JJ008	88.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
094-US2-01.bin.1.358'	Labilithrix	77.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
046-US2-03.bin.1.433'	Lacipirellula	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
018-CH-08.bin.1.247'	Lacunisphaera	21.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
003-CA-05.bin.1.72'	Leadbetterella	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
035-MX-06.bin.1.119'	Lentimicrobium	57.14	0	100	50	0	0	0	0	0	0	0	0	0	0	0	0
061-AU-11.bin.1.332'	Lutibacillus	96.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
043-US1-27.bin.c.15'	M0108	94.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
009-AU-01.bin.1.72'	M3007	92.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028-AU-34.bin.1.325'	Marimicrobium	94.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
035-MX-06.bin.1.203'	Marmoricola	57.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
016-PL-06.bin.1.5'	Mesorhizobium_G	100	0	0	0	0	0	90.91	0	0	0	0	0	0	0	0	0
008-AR-23.bin.1.72'	Mesorhizobium_I	100	0	0	0	0	0	90.48	0	0	0	0	0	0	0	0	0
035-MX-06.bin.1.88'	Methylophosphatis	85.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
052-CH-10.bin.1.192'	Methyloversatilis	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
037-NO2-03.bin.1.67'	Microbacterium	58.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
091-US1-126.bin.1.343'	Micropruina	65.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
063-AU-32.bin.1.12'	Microthrix	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
064-CA-01.bin.c.11'	Mycobacterium	86.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
061-AU-11.bin.2.99'	Nannocystis	19.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
021-CZ-11.bin.1.329'	Nitrosomonas	85.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
035-MX-06.bin.1.274'	Nitrospira_A	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
002-MX-07.bin.2.25'	Nitrospira_D	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
017-IL-02.bin.1.27'	Nitrotoga	7.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
078-MX-10.bin.1.111'	Nocardioides	78.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
025-FI-01.bin.1.451'	Nostocoides_A	64.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
013-IT-11.bin.1.124'	Novosphingobium	61.76	90.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
037-NO2-03.bin.1.193'	OLB10	100	0	0	0	88.64	0	0	0	0	0	0	0	0	0	0	0
053-PL-24.bin.1.433'	OLB11	38.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
065-CA-03.bin.1.197'	OLB17	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
013-IT-11.bin.1.108'	OLB5	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028-AU-34.bin.1.230'	OLB9	75.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
036-NL-06.bin.1.206'	Obscuribacter	3.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
034-IT-09.bin.1.358'	Opimibacter	26.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
059-AT-02.bin.1.302'	Ottowia	26.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
018-CH-08.bin.1.366'	PBB1	45.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
040-UK-14.bin.1.190'	PFJX01	77.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028-AU-34.bin.1.275'	PHOS-HE28	96.31	0	80.33	0	82.79	0	0	67.21	0	0	0	0	0	0	0	0
009-AU-01.bin.1.80'	Paludibacter	83.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
073-IL-01.bin.1.81'	Paracoccus	73.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
050-BE-09.bin.1.665'	Parvibacillus	69.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
018-CH-08.bin.1.184'	Phenylobacterium	86.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
017-IL-02.bin.1.504'	Phosphoribacter	80.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
034-IT-09.bin.1.492'	Phycicoccus_A	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
027-AU-18.bin.1.2'	Pirellula_B	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090-US1-124.bin.1.692'	Piscinibacter	93.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
087-SA-04.bin.1.353'	Promineifilum	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.16
029-CA-06.bin.1.84'	Propioniciclava	86.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
004-NL-18.bin.1.309'	Propionivibrio	57.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
014-ES-23.bin.1.435'	Prosthecobacter	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
