genome_id,gtdb_classification,Database
001-SG-02.bin.2.177,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__GCA-016699835;s__,MiDAS Global
001-SG-02.bin.2.178,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__TMP-24;s__,MiDAS Global
001-SG-02.bin.2.179,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Accumulibacter;s__Accumulibacter sp023806565,MiDAS Global
001-SG-02.bin.2.263,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Caldilinea;s__,MiDAS Global
001-SG-02.bin.2.297,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__RBC074;f__RBC074;g__;s__,MiDAS Global
001-SG-02.bin.2.299,d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__;s__,MiDAS Global
001-SG-02.bin.2.346,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__UBA2386;s__,MiDAS Global
001-SG-02.bin.2.348,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__UBA5069;s__,MiDAS Global
001-SG-02.bin.2.357,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__;s__,MiDAS Global
001-SG-02.bin.2.363,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__FEN-1143;s__,MiDAS Global
001-SG-02.bin.2.50,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__PFJX01;s__,MiDAS Global
001-SG-02.bin.2.74,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1845;f__Fen-1342;g__JACRLV01;s__,MiDAS Global
001-SG-02.bin.2.90,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Limisphaerales;f__VHDF01;g__;s__,MiDAS Global
001-SG-02.bin.3.254,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__RXIX01;s__RXIX01 sp003989075,MiDAS Global
001-SG-02.bin.c.1,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA6663;g__UBA6663;s__,MiDAS Global
001-SG-02.bin.c.23,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__OLB17;s__OLB17 sp019694355,MiDAS Global
001-SG-02.bin.c.3,d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__DAOUPL01;s__,MiDAS Global
001-SG-02.bin.c.32,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_D;s__,MiDAS Global
001-SG-02.bin.c.33,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__JABDDW01;f__JABDDW01;g__JADLCR01;s__,MiDAS Global
001-SG-02.bin.c.35,d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__JAAKFR01;g__JAJACO01;s__,MiDAS Global
001-SG-02.bin.c.37,d__Bacteria;p__Bdellovibrionota_G;c__JALEGL01;o__JALEGL01;f__JAGRMV01;g__;s__,MiDAS Global
001-SG-02.bin.c.4,d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__RVW-14;g__;s__,MiDAS Global
001-SG-02.bin.c.5,d__Bacteria;p__Patescibacteria;c__JAUYIX01;o__JAUYIX01;f__;g__;s__,MiDAS Global
002-MX-07.bin.1.10,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__JADIYW01;g__JADIYW01;s__,MiDAS Global
002-MX-07.bin.1.100,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA9973;g__;s__,MiDAS Global
002-MX-07.bin.1.103,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__JACPYF01;g__;s__,MiDAS Global
002-MX-07.bin.1.11,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__;g__;s__,MiDAS Global
002-MX-07.bin.1.113,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__CAIUGU01;s__,MiDAS Global
